"Quel système politique est caractérisé par l'exercice direct du pouvoir par les citoyens, sans représentants ?",La démocratie directe.
"Que sont les lobbies, ou groupes de pression ?",Des organisations cherchant à influencer les institutions politiques en défendant des intérêts publics ou privés.
"En Belgique, quel type de scrutin est utilisé pour répartir les sièges au parlement ?",Le scrutin proportionnel plurinominal.
"Qu'est-ce que le volontariat, ou bénévolat ?",Une activité exercée gratuitement et sans obligation au profit d'autres personnes ou de la collectivité.
"Selon l'économiste Amartya Sen, la démocratie se réduit-elle au processus électoral ?","Non, elle est définie de façon extensive comme l'exercice de la raison publique, garantissant la libre discussion et le pluralisme."
"Quel concept, défini par Jean-François Bayart, est utilisé pour décrire une forme de gestion du pouvoir en Afrique axée sur le clientélisme et l'enrichissement personnel ?","La ""politique du ventre""."
Quel principe fondamental de la démocratie assure que le pouvoir des institutions politiques est limité par le droit et des principes constitutionnels ?,L'État de droit.
"Dans le contexte de l'Union Européenne, comment est défini le ""dialogue social"" ?","Une configuration institutionnelle réunissant les ""partenaires sociaux"" (syndicats et patronat), avec ou sans les institutions européennes."
Comment nomme-t-on le système allemand de participation des salariés aux conseils de surveillance ou d'administration des entreprises ?,La codétermination.
"Qu'est-ce qu'une ""clause d'ouverture"" dans une convention collective ?","Une clause permettant à un conseil d'entreprise de négocier des dérogations (horaires, salaires) à la convention de branche, dans des marges fixées."
"Selon les théories délibératives, quand une décision politique est-elle considérée comme légitime ?","Lorsqu'elle découle d'un processus public de discussion entre des citoyens libres et égaux, guidé par la force du meilleur argument."
"Comment la pensée politique désigne-t-elle l'ensemble des organisations indépendantes des instances publiques, à but non lucratif, qui interviennent dans le débat public ?",La société civile.
"Que sont les ""bulles de filtrage"" dans le contexte de l'information publique ?","Des espaces (médiatiques, sociaux) où les citoyens sont principalement exposés à des points de vue similaires aux leurs, polarisant les opinions."
Quel est l'objectif principal de l'évaluation d'une politique publique ?,"Établir un diagnostic sur les rapports entre les ""buts"" et les ""résultats"" de cette politique."
Comment nomme-t-on l'aide financière et technique fournie par les gouvernements des pays développés aux pays en développement ?,L'aide publique au développement (APD).
Le modèle IRR (Impoverishment Risks and Reconstruction) est utilisé pour analyser les conséquences de quel phénomène lié aux projets de développement ?,Le déplacement involontaire de populations.
Quelle est l'une des critiques fondamentales de l'analyse coûts/bénéfices appliquée aux projets qui déplacent des populations ?,Elle ne garantit pas que les bénéfices du projet reviennent à ceux qui en subissent les pertes et les coûts.
"La démocratie est un régime qui organise la _____ du pouvoir, contrairement aux régimes autoritaires.",rotation
Quelle est la fonction principale de la démocratie face aux tensions et conflits au sein de la société ?,Elle sert à les gérer pacifiquement en offrant un cadre de compétition ouvert et réglé.
"Dans une démocratie _____, les citoyens désignent des représentants pour élaborer et appliquer les lois.",représentative
Quelle est la différence fondamentale entre un référendum et une consultation populaire en Belgique ?,"Le résultat d'un référendum est contraignant, tandis que celui d'une consultation populaire ne l'est pas."
"Qu'est-ce que la ""discipline de vote"" au sein d'un parti politique ?","Le fait que les parlementaires d'un même parti votent de manière unanime, conformément à la ligne décidée par le parti."
Quel mécanisme parlementaire permet aux élus de questionner les ministres sur leur politique et se termine par un vote ?,L'interpellation.
"Quel mode de désignation des mandataires, utilisé dans la démocratie athénienne, garantirait une représentation proportionnelle de toutes les couches de la société ?",Le tirage au sort.
"Quel terme décrit la division de la société belge en mondes sociologiques distincts (catholique, libéral, socialiste), encadrant la vie des individus ?",La pilarisation.
Quel terme désigne le mode d'association d'États indépendants qui confient par traité la gestion de certains intérêts à une organisation commune ?,Le confédéralisme.
Comment appelle-t-on les lois qui visent à reconnaître officiellement ou à qualifier juridiquement des faits historiques ?,Les lois mémorielles.
"Selon Enzo Traverso, quelle est la différence entre les ""mémoires fortes"" et les ""mémoires faibles"" ?","Les mémoires fortes émanent d'institutions officielles (récit dominant), tandis que les mémoires faibles sont portées par des groupes marginalisés."
"Qu'est-ce qu'un sophisme de ""l'épouvantail rhétorique"" ou ""homme de paille"" ?",C'est une technique qui consiste à déformer ou caricaturer la position de l'adversaire pour la réfuter plus facilement.
Quel type de sophisme consiste à attaquer la personne de l'adversaire plutôt que ses arguments ?,L'argument ad personam.
Quel est l'objectif d'une interpellation politique adressée à une autorité ?,"Présenter un problème, en exposer les causes et suggérer des pistes de solution, sans avoir de valeur contraignante."
Qu'est-ce qu'une pétition ?,"L'expression écrite d'une opinion, d'une plainte ou d'une requête, transmise par une ou plusieurs personnes à une autorité."
Citez deux compétences exercées par l'État fédéral en Belgique.,"La justice, l'armée, la police fédérale, la sécurité sociale, la politique monétaire (liste non exhaustive)."
"Quel est le droit reconnu aux travailleurs pour faire valoir leurs intérêts, souvent encadré par des obligations de négociation et de préavis ?",Le droit de grève.
"Selon Franklin D. Roosevelt, que devient une démocratie si la puissance privée grandit au point de devenir plus forte que l'État démocratique lui-même ?",Le fascisme.
"Qu'est-ce que la ""palabre africaine"" dans le contexte des démocraties traditionnelles ?","Un long débat visant à atteindre une unanimité consciente, motivée et réfléchie (consensus) au sein de la communauté."
La _____ est une variété de compromis qui n'implique pas de grands engagements.,consensus moyen ou mou
En quelle année le suffrage universel a-t-il été élargi aux femmes en Belgique ?,En 1948.
Le pouvoir _____ est chargé d'adopter les lois.,législatif
Le pouvoir _____ est chargé de mettre les lois en œuvre.,exécutif
Le pouvoir _____ est composé des cours et des tribunaux et fait respecter les normes juridiques.,judiciaire
"Dans le modèle allemand, les fédérations syndicales négocient avec les fédérations d'employeurs des conventions collectives au niveau des _____.",branches
Quelle pratique citoyenne consiste à investir du temps dans une activité pour une cause ou une communauté sans être obligé ni rémunéré ?,Le bénévolat (ou volontariat).
"Selon la tradition libérale, la démocratie est indissociable de la reconnaissance du _____ social.",pluralisme
"En France, quelle loi pénalise la contestation de l'existence des crimes contre l'humanité définis par le statut du tribunal de Nuremberg ?",La loi Gayssot.
"En Belgique, la loi du 23 mars 1995 tend à réprimer la négation, la minimisation, la justification ou l'approbation de quel événement historique ?",Le génocide commis par le régime national-socialiste allemand durant la Seconde Guerre mondiale.
Quel est l'un des risques majeurs identifié par le modèle IRR pour les populations déplacées par de grands projets ?,"La perte de terres, le chômage, la perte de logement, la marginalisation, l'insécurité alimentaire, l'augmentation de la morbidité, la perte d'accès aux biens communs ou la désarticulation sociale (un seul exemple suffit)."
"Dans le contexte de la délibération démocratique, quelle peut être la fonction positive de l'émotion ?","Elle peut attirer l'attention sur un problème politique, permettre de décentrer son point de vue et engager le citoyen dans la discussion."
